item_no	HTid	recordid	OCLC	LOCnum	author	imprint	datetype	startdate	enddate	textdate	place	enumcron	materialtype	subjects	genres	title	enum_start_date	enum_end_date	inferred_date	category
1	mdp.39015008736798	1372869	40319797	PN2598.G3H4	Hedgcock, Frank Arthur,	London;Stanley Paul;1912.	s	1912	    	1912	enk	<blank>	monograph	Garrick, David;1717-1779	NotFiction	A Cosmopolitan actor			1912	Biography
2	mdp.39015046369982	4217	293848	<blank>	Stevens, William Oliver,	New York;H. Holt;1904.	|	1904	||||	1904	|||	<blank>	monograph	English literature;History and criticism;Crosses;Old English, ca. 450-1100	UnknownGenre	The cross in the life and literature of the Anglo-Saxons			1904	History
3	mdp.39015012918044	7500	552588	<blank>	Besant, Annie,	London;Theosophical Publishing Society;1914.	|	1914	||||	1914	|||	<blank>	monograph	India;Politics and government;History	UnknownGenre	India and the empire			1914	Politics; History
4	mdp.39015022482221	540755	64215853	<blank>	<blank>	London;H. M. Stationery Off.	d	1910	1920	"<unparsed=""H. M. Stationery Off"">"	enk	1912-1913	serial	Great Britain;Aeronautics, Military	UnknownGenre	Technical report	1912.0	1913.0	1912	Aeronautics
5	mdp.39015075026594	541432	1775702	TR1.C3	<blank>	San Francisco	d	1900	1942	1912	cau	v.19 1912	serial	Photography;Periodicals	UnknownGenre	Camera craft	1912.0		1912	Photography
6	mdp.39015078570812	1419691	6321349	<blank>	Wicks, Mark.	London;Seeley and co., limited;1911.	s	1911	    	1911	enk	<blank>	monograph	Moon;Astronomy;Mars (Planet);Juvenile literature	UnknownGenre	To Mars via the moon;			1911	Astronomy; Childrens’ books;Juvenile
7	mdp.39015016100219	1422607	7794378	<blank>	Leathes, John Beresford.	London;New York;Bombay;Calcutta;Longmans, Green, and co.;1913.	s	1913	    	1913	enk	<blank>	monograph	Fats and oils;Biochemistry	UnknownGenre	The fats			1913	Biochemistry
8	mdp.39015024521703	1423840	913618	<blank>	More, Paul Elmer,	Boston;New York;Houghton Mifflin company, Riverside press;c1913	s	1913	    	1913	mau	<blank>	monograph	Romanticism	UnknownGenre	The drift of romanticism			1913	Literary history; criticism
9	uc2.ark:/13960/t5gb1zr6p	6533153	14696306	<blank>	Bonner, Geraldine,	New York;London;Funk & Wagnalls Company;1906, c1905.	c	1905	    	1906	nyu	<blank>	monograph	<blank>	Fiction	The Castlecourt diamond case			1906	Fiction
10	nyp.33433075728059	6533621	2181059	<blank>	Fowler, Ellen Thorneycroft.	New York;Dodd, Mead & Co.;1908.	s	1908	    	1908	nyu	<blank>	monograph	<blank>	NotFiction	Miss Fallowfield's fortune			1908	Fiction
11	uc2.ark:/13960/t41r6zq7f	6535748	2778509	DT757.F8	Fuller, Robert Hart.	London;G. Newnes, Ltd.;1908	s	1908	    	1908	enk	<blank>	monograph	Description and travel;South Africa;Social life and customs	NotFiction	South Africa at home			1908	Travel; Description and Travel
12	loc.ark:/13960/t5k93tf3w	6536820	2580955	LB1051.M8	Münsterberg, Hugo,	New York;London;D. Appleton and company;1909.	s	1909	    	1909	nyu	<blank>	monograph	Educational psychology	NotFiction	Psychology and the teacher			1909	Psychology
13	njp.32101076432051	8885140	1751778	AP2.H3	<blank>	New York;Harper & Brothers;1913-1976.	d	1913	1976	1913-1976	nyu	v.127 (June-Nov. 1913)	serial	<blank>	UnknownGenre	Harpers magazine	1913.0		1913	Miscellaneous; Periodical
14	njp.32101076185055	8887383	4179801	AP2.P8	<blank>	New York;McClure, Phillips and Co.;1900-1950], [etc.	d	1900	1950	1900-1950	nyu	v.79 (July-Dec. 1911)	serial	Science;Technology;Periodicals	UnknownGenre	The Popular science monthly	1911.0		1911	Miscellaneous; Popular Science; Periodical
15	mdp.39015030803434	1140438	32600248	JF1071.H72	Hoag, Clarence Gilbert,	Washington;Govt. print. off.;1914.	s	1914	    	1914	dcu	<blank>	monograph	Preferential ballot;Proportional representation	NotFiction	Effective voting			1914	Politics
16	uc1.$b746994	552585	1792736	AY755.L8D17	<blank>	London;Associated Newspapers Groups, ltd. [etc.	u	1901	9999	"<unparsed=""Associated Newspapers Groups, ltd. [etc.]"">"	enk	1907	serial	Yearbooks	UnknownGenre	Daily mail year book	1907.0		1907	Miscellaneous; Periodical
17	mdp.39015011425389	391481	4109226	<blank>	Glyn, Elinor,	New York;Duffield & company;1909.	s	1909	    	1909	nyu	<blank>	monograph	<blank>	NotFiction	Three weeks			1909	fiction
18	uc2.ark:/13960/t7mp4x186	7660547	38586943	<blank>	Green, Samuel Bowdlear,	St. Paul;Webb;1914, c1912.	t	1914	1912	1914	mnu	<blank>	monograph	Fruit-culture	NotFiction	Popular fruit growing			1914	Agriculture
19	mdp.39015063623899	272672	970768	DA50.B4	Belloc, Hilaire,	London;Williams and Norgate;1912	s	1912	    	1912	enk	<blank>	monograph	Great Britain;History, Military	NotFiction;Bibliographies	Warfare in England			1912	War; History
20	mdp.39015018047780	783545	2789225	<blank>	Van Dyke, Henry,	New York;T. Y. Crowell & co.;c1908	s	1908	    	1908	nyu	<blank>	monograph	Conduct of life	NotFiction	Counsels by the way			1908	Essays; Conduct of Life
21	mdp.39015003473033	1588924	2758344	<blank>	Le Queux, William,	London;E. Nash;1906.	s	1906	    	1906	enk	<blank>	monograph	Defenses;Great Britain;Imaginary wars and battles	UnknownGenre	The invasion of 1910, with a full account of the siege of London, by William Le Queux; naval chapters by H.W. Wilson, introductory letter by Field-Marshal Earl Roberts			1906	Fiction
