barcode_src,title_src,author_src,date1_src,date2_src,include_yn,reason,firstpub,pubplace,authgender,authnationality,authordates,author_profession,page_count_src,token_count_o200k_base_gen,language_src,topic_or_subject_gen,topic_or_subject_score_gen,genre_or_form_src,general_note_src,ocr_score_src,ocr_score_gen,likely_duplicates_barcodes_gen,identifiers_src,hathitrust_data_ext,is_english_1831_1930
32044020431060,"Taxes on knowledge : debate in the House of Commons, on the l5th June, 1832, on Mr. Edward Lytton Bulwer's motion ""For a select committee to consider the propriety of establishing a cheap postage on newspapers and other publications"" : with a comment in the form of notes, and the article from the ""Examiner"" newspaper, of Sunday, 17th June, 1832.",,1832,,y,debate in the House of Commons,1832.0,London,m,UK,multiple speakers,members of Parliament,68.0,30567.0,eng,SOCIAL SCIENCES,0.9618840218,,"At head of title: No. 13. National Political Union., Goldsmiths'-Kress no. 27723.",85.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)18377782'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044020431060', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044001275783,Memoirs and letters of Capt. Sir William Hoste ...,"Hoste, William",1833,,y,,1833,,,,,,374.0,97035.0,eng,SCIENCE,0.4977732301,,"Ed. by Lady Harriet Hoste., Vol. 2 has half-title only.",94.0,99.0,,"{'lccn': array(['05005851'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)01130724'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044001275783', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044086850757,"The wizard of the North, The vampire bride, and other poems.","Ravensworth, Henry Thomas Liddell",1833,,y,"I mean, the vampire bride!",1833.0,Edinburgh,m,UK,1797-1878,peer and member of Parliament,116.0,16415.0,eng,LANGUAGE AND LITERATURE,0.974381268,,,87.0,98.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)35268269'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044086850757', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044098616634,A general biographical dictionary.,"Gorton, John",1833,,y,biography,1833.0,London,m,UK,d. 1835,writer,918.0,1339493.0,eng,AUXILIARY SCIENCES OF HISTORY,0.9989370704,,,96.0,98.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)81402093'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044098616634', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044010314573,"Domestic manners and social condition of the white, coloured, and Negro population of the West Indies.","Carmichael, Alison Charles",1834,,y,slavery in the West Indies; contrast Abigail,1834.0,London,f,Scottish,b. 1792,plantation owner,712.0,177502.0,eng,AGRICULTURE,0.9480410814,,Also published under title: Five years in Trinidad and St. Vincent.,97.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)05926947'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044010314573', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044105248827,Trial of John R. Buzzell : before the Supreme Judicial Court of Massachusetts for arson and burglary in the Ursuline Convent at Charlestown.,"Buzzell, John R.",1834,,y,trial record,1834.0,Boston,,,,,108.0,72790.0,eng,LAW,0.9977426529,,,97.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)11204865'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044105248827', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044024191629,"The Old world and the New : or, A journal of reflections and observations made on a tour in Europe","Dewey, Orville",1836,,y,travel,1836.0,New York,m,US,1794-1882,Unitarian minister,412.0,120913.0,eng,GEOGRAPHY. ANTHROPOLOGY. RECREATION,0.9850074649,,,94.0,100.0,,"{'lccn': array(['03011232'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)04052346'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044024191629', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HN53EZ,"CaÃ¯ssa rediviva; or, The Muzio gambit,","Arblay, Alexander Charles Louis Piochard d'",1836,,y,poem about chess,1837.0,London,m,UK,1894-1837,clergyman and mathematician,62.0,12168.0,fra,LANGUAGE AND LITERATURE,0.9758573174,,"On the match between McDonnell and MahÃ© de la Bourdonnais, in reply to Joseph MÃ©ry's Une revanche de Waterloo.",81.0,93.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)04485173'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hn53ez', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044091939926,"A popular treatise on the warming and ventilation of buildings; showing the advantages of the improved system of heated water circulation, &c. ...","Richardson, C. J.",1837,,y,architecture,1837.0,London,m,UK,1806-1871,architect,170.0,39780.0,eng,TECHNOLOGY,0.9980898499,,,82.0,100.0,,"{'lccn': array(['08006483'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)12819706'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044091939926', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HC3ZMK,"The Phrenological journal, and magazine of moral science.",,1837,1847.0,y,,1841.0,Edinburgh,,UK,,,832.0,526353.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.9971486926,,,96.0,99.0,,"{'lccn': array(['sn 77011149'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)07800030'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hc3zmk', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
