barcode_src,title_src,author_src,firstpub,reason,pubplace,authgender,authnationality,authordates,author_profession,page_count_src,token_count_o200k_base_gen,genre,abstention_question_count,character_modeling_question_count,constrained_generation_question_count,inference_question_count,knowledge_question_count,phrase_cloze_question_count,sentence_cloze_question_count,topic_sentence_question_count,unknown_question_count,total_question_count
32044020431060,"Taxes on knowledge : debate in the House of Commons, on the l5th June, 1832, on Mr. Edward Lytton Bulwer's motion ""For a select committee to consider the propriety of establishing a cheap postage on newspapers and other publications"" : with a comment in the form of notes, and the article from the ""Examiner"" newspaper, of Sunday, 17th June, 1832.",,1832.0,debate in the House of Commons,London,m,UK,multiple speakers,members of Parliament,68.0,30567.0,,0,0,1,0,0,0,0,0,0,1
32044001275783,Memoirs and letters of Capt. Sir William Hoste ...,"Hoste, William",1833.0,,,,,,officer,374.0,97035.0,memoir,0,0,0,0,0,0,2,0,0,2
32044086850757,"The wizard of the North, The vampire bride, and other poems.","Ravensworth, Henry Thomas Liddell",1833.0,"I mean, the vampire bride!",Edinburgh,m,UK,1797-1878,peer and member of Parliament,116.0,16415.0,,0,0,2,0,0,0,0,0,0,2
32044098616634,A general biographical dictionary.,"Gorton, John",1833.0,biography,London,m,UK,d. 1835,writer,918.0,1339493.0,,4,0,0,0,3,0,0,0,0,7
32044010314573,"Domestic manners and social condition of the white, coloured, and Negro population of the West Indies.","Carmichael, Alison Charles",1834.0,slavery in the West Indies; contrast Abigail,London,f,Scottish,b. 1792,plantation owner,712.0,177502.0,,0,0,1,0,0,0,0,0,0,1
32044105248827,Trial of John R. Buzzell : before the Supreme Judicial Court of Massachusetts for arson and burglary in the Ursuline Convent at Charlestown.,"Buzzell, John R.",1834.0,trial record,Boston,,,,,108.0,72790.0,trial transcript,0,0,1,0,0,0,3,0,0,4
32044024191629,"The Old world and the New : or, A journal of reflections and observations made on a tour in Europe","Dewey, Orville",1836.0,travel,New York,m,US,1794-1882,Unitarian minister,412.0,120913.0,travelogue,0,0,1,0,0,0,3,0,0,4
HN53EZ,"CaÃÂ¯ssa rediviva; or, The Muzio gambit,","Arblay, Alexander Charles Louis Piochard d'",1837.0,poem about chess,London,m,UK,1894-1837,clergyman and mathematician,62.0,12168.0,,0,0,1,0,0,0,0,0,0,1
32044091939926,"A popular treatise on the warming and ventilation of buildings; showing the advantages of the improved system of heated water circulation, &c. ...","Richardson, C. J.",1837.0,architecture,London,m,UK,1806-1871,architect,170.0,39780.0,,0,0,1,0,0,0,0,0,0,1
HC3ZMK,"The Phrenological journal, and magazine of moral science.",,1841.0,,Edinburgh,,UK,,,832.0,526353.0,,0,0,0,0,0,0,0,0,0,0
