model,effort,cloze,generation,knowledge,date_fidelity,error_in_years,human_authenticity,cloze_lo,cloze_hi,generation_lo,generation_hi,knowledge_lo,knowledge_hi
Talkie 1930 13B base,,1.5,12.6,20.3,54.4,30.2,32.6,0.8,3.3,11.1,20.6,15.5,25.3
Talkie 1930 13B it,,6.3,32.9,22.6,87.7,12.6,32.1,4.8,9.5,29.6,41.8,17.5,27.9
Qwen2.5 7B,,7.3,13.2,25.5,4.8,105.2,3.7,5.4,10.7,12.3,22.4,19.7,31.0
Qwen2.5 72B it,,19.1,20.2,50.2,13.8,84.2,5.4,15.6,24.0,18.3,29.9,43.6,56.6
Gemini 3.7 flash,high,85.8,60.9,98.2,76.7,14.9,27.4,82.0,88.9,54.9,66.4,96.6,99.6
Kimi K3,max,85.7,66.6,94.4,94.8,6.6,24.0,81.9,88.8,59.9,71.2,91.5,97.1
GPT-4o 2024-08-06,,35.0,26.0,65.0,19.6,79.1,5.7,30.8,40.5,23.5,36.0,59.0,70.9
GPT-4.1,,65.6,44.0,68.9,65.8,27.5,11.9,60.6,70.1,39.5,52.9,62.8,74.5
GPT-4.1 finetune,,38.9,53.8,62.7,98.9,2.9,88.4,34.2,43.6,48.2,60.1,56.4,68.7
GPT-5.4,medium,89.9,68.0,93.1,94.2,-1.9,28.1,86.5,92.3,61.2,72.3,89.7,96.1
GPT-5.4 wrong contexts,medium,83.7,54.3,85.9,91.0,-3.9,26.9,79.7,87.0,48.9,60.7,81.2,90.2
GPT-5.6,high,91.0,71.7,92.3,92.3,6.6,28.7,87.7,93.3,64.7,75.2,88.5,95.7
GPT-6-Astra,high,93.0,71.4,96.1,99.3,4.0,23.7,90.0,94.7,64.7,75.1,93.5,98.3
