position,filename,passage,has_synopsis,synopsis_sentence
80,45859.txt,"I was no sooner in the street, than I gave great thanks to God for
the rescue He had provided, and then I bore her along to the church,
thinking she needed the rites of sepulture; but I had scarcely entered
the sacred place, than she opened her eyes and breathed. So I gave
her such means of refreshment as I had about me, and by degrees the
sad lady came to herself; and to give her greater consolation, I bid
her observe she was no longer in the estate of a slave, but that by
the mercy of Heaven she was redeemed and free.",,
91,24321.txt,"Gentlemen: I am now ready to deliver the tea consigned to you on board
my ship, and beg to know if you, gentlemen, are ready and willing to
receive it, as I can produce the requisites usual and necessary for
landing or delivering the said teas alongside the ship, either by
yourselves, your agents or assigns; and as my cargo of lumber is ready
for shipping on discharge of the said tea, I demand an immediate and
positive answer to my question.",,
231,30098.txt,"It is not difficult from the materials available to form a sufficiently
lively idea of this Venetian citizen of the sixteenth century, as father
and husband, host and painter. Ridolfi has collected a number of
anecdotes, which space forbids me to use, but which are all very
characteristic. We gather that he was a man of strong character,
generous, sincere and simple, decided in his ways, caring little for
the great world, but open-handed and hospitable under his own roof,
observant of men and manners, and sometimes rather brusque in dealing
with bores and offensive persons. Full of dry quiet humour and of
good-natured banter of his wife's little weaknesses. A man, too, of
upright conduct and free, as far as it can be ascertained, from any of
those laxities and infidelities, so freely quoted of celebrated men and
so easily condoned by his age. Art was Tintoretto's main preoccupation;
but he seems to have been a man of strong religious bias, making a close
study of the Bible, and turning naturally in his last days to those
truths with which his art had made him familiar, truths which he had
represented with that touch of mystic feeling which was the deepest part
of his nature.",,
185,44964.txt,"A few days prior to this, while Johnston's army was retiring from its
former position at Cassville, they became engaged with a division of
the Federal army at Pine Mountain, in which battle General Polk was
killed by a cannon ball. This was a serious loss to the Confederacy.
He was a graduate of West Point; but after being graduated he took
work with the Episcopal church as bishop, but at the outbreak of the
war he entered the Confederate army and served with distinction. Only
a short time before his death it is reported that he administered the
ordinance of baptism to Generals Johnston and Hood. It is said that he
was rebuked by some of his church for taking up arms. He replied that
he felt as a man plowing in a field and was called by his neighbor to
help extinguish the flames from his house which was on fire, and after
the fire would go back to work. He was succeeded in command by General
Loring.",,
232,30098.txt,"M. Charles Yriarte has written a Life of Paolo Veronese, which is full
of charm and knowledge. It is interesting to take a copy of Boschini's
_Della pittura veneziana_, 1797, when visiting the galleries, the
palaces, and the churches of Venice. His lists of the pictures, as they
were known in his day, often open our eyes to doubtful attributions.
Second-hand copies of Boschini are not difficult to pick up. When the
later-century artists are reached, a good sketch of the Venice of their
period is supplied by Philippe Monnier's delightful _Venice in the
Eighteenth Century_ (Chatto and Windus), which also has a good chapter
on the lesser Venetian masters. The best Life of Tiepolo is in Italian,
by Professor Pompeo Molmenti. The smaller masters have to be hunted for
in many scattered essays; a knowledge of Goldoni adds point to Longhi's
pictures. Canaletto and his nephew, Belotto, have been treated by M.
Uzanne, _Les Deux Canaletto_; and Mr. Simonson has written an important
and charming volume on Francesco Guardi (Methuen, 1904), with beautiful
reproductions of his works. Among other books which give special
information are Morelli's two volumes, _Italian Painters in Borghese and
Doria Pamphili_, and _In Dresden and Munich Galleries_, translated by
Miss Jocelyn ffoulkes (Murray); and Dr. J. P. Richter's magnificent
catalogue of the Mond Collection--which, though published at fifteen
guineas, can be seen in the great art libraries--has some valuable
chapters on the Venetian masters.",,
235,30098.txt,"Berlin.    Madonna and Saints; Consecration of Stephen.
 Ferrara.   Death of Virgin.
 Milan.     Presentation of Virgin; Marriage of Virgin; St. Stephen
              disputing.
 Paris.     St. Stephen preaching.
 Stuttgart. Martyrdom of St. Stephen.
 Venice.    Academy: The History of St. Ursula and the 11,000 Virgins;
              Presentation in the Temple.
            Museo Correr: Visitation; Two Courtesans.
            S. Giorgio degli Schiavone: History of SS. George and
              Tryphonius; Agony in the Garden; Christ in the House of
              the Pharisee; History of St. Jerome.
            S. Vitale: Altarpiece to S. Vitale.
            Lady Layard. Death of the Virgin; St. Ursula taking leave
              of her Father.
 Vienna.    Christ adored by Angels.",,
183,44964.txt,"Early on the morning of May 2d the cannonading began its death-song and
the infantry was brought into action. Before long Jackson began, with a
portion of the army, to move off the field, and Hooker, observing this,
believed that Lee's army was in full retreat on Richmond. This movement
proved to be the undoing of Hooker's army, as Jackson was making
for his right flank. It was about five o'clock in the afternoon when
Jackson broke from the woods in a charge upon the unsuspecting troops
of Hooker's right which was under Howard.",,
48,62371.txt,"“There! Di-dit-di-dit! That’s a laugh—a radio laugh—if you only knew
it!” chuckled the girlish operator on her high stool before the
table—her black eyebrows meeting over the blue sky-beams in her eyes.
“Father got off to me ‘Y. L.—Young Lady’—I told him I hated that; and he
changed it to ‘O. W.—Old Woman.’ Well! there, we’re through our
‘hamfest’—gabfest—for this morning. Father’s rejoiced, tickled through,
that we’re having such a wonderful time in camp—Camp Chicolee, as I told
him we called it, from an Indian word meaning Horse; and he hopes I
won’t try taking four-foot fences on Revelation—just yet.”",,
219,72479.txt,"In writing letters, or in preparing anything for the press, care should
be taken to write a plain, readable hand. Many a valuable position has
been lost because of poor penmanship, and many worthy productions have
been thrown into the waste-basket, because they have been poorly written.
Men of distinction can afford to write a poor hand, to the inconvenience
of friends, and the trouble of printers, but, as a general rule, a poor
writer labors under a great disadvantage.",,
58,75590.txt,"“Thus the Lord’s power hath carried us through all, and over all,
  to his everlasting glory and praise; for God’s power hath been our
  hedge, our wall and our keeper (the preserver of his plants and
  vineyard,) who have not had the magistrates’ sword and staff to
  help us, nor ever trusted in the arm of flesh, but have gone
  without these, or Judas’ bag, to preach the Word of life, which
  was in the beginning before they were; which reconciles to God.
  And thousands have received this Word of reconciliation, and are
  born again of the immortal Seed, by the Word of God; and are
  feeding upon the milk of the Word, which lives and abides for
  ever.",,
239,30098.txt,"It was the habit of Bellini to trust much to his assistants, and as
everything that went out of his workshop was signed by his name, even if
it only represented the use of one of his designs, or a few words of
advice, and was ""passed"" by the master, it is no wonder that European
collections were flooded with works, among which only lately the names
of Catena, Previtali, Pennacchi, Marco Belli, Bissolo, Basaiti,
Rondinelli, and others begin to be disentangled.",,
206,9850.txt,"Keats and Wither will serve as examples with which to finish our argument.
In spite of all that has been said Keats takes higher rank as poet than
Wither? Yes, certainly, but not because the poetic energy in him was a
finer thing than the poetic energy that was in Wither. It was more
constant, which is a fact of no little importance; its temper appealed to
a much more general sympathy, a circumstance which cannot be left out of
the reckoning; it touched a far wider range of significant material.
These things give Keats his just superiority of rank, but they do not
deprive Wither, at his best moments, of the essential quality which is
with Keats, as with all poets, the one by which he makes his proudest
claim good. Nor need it be feared that in allowing Wither, with his rare
moments of withdrawn and rather pale perfection, this the highest of all
distinctions, we are making accession to the title of poet too easy. It
remains the most difficult of all human attainments. The difference between
the essential quality in those eight fragile lines and that in such verse
as, say:",,
207,9850.txt,"His praise, ye Winds, that from four quarters blow,
  Breathe soft or loud: and wave your tops, ye Pines,
  With every plant, in sign of worship wave.
  Fountains, and ye that warble, as ye flow,
  Melodious murmurs, warbling tune his praise.
  Join voices all ye living Souls. Ye Birds,
  That, singing, up to Heaven-gate ascend,
  Bear on your wings and in your notes his praise.
  Ye that in waters glide, and ye that walk
  The earth, and stately tread, or lowly creep,
  Witness if I be silent, morn or even,
  To hill or valley, fountain, or fresh shade,
  Made vocal by my song, and taught his praise.",,
215,72479.txt,"“Father Time is not always a hard parent, and though he tarries for none
of his children, he often lays his hand lightly upon those who have used
him well; making them old men and women inexorably enough, but leaving
their hearts and spirits young and in full vigor. With such people the
gray head is but the impression of the old fellow’s hand in giving them
a blessing, and every wrinkle but a notch in the quiet calendar of a
well-spent life.”—_Dickens._",,
200,59466.txt,"This hospital being, however, in an incommodious situation, and
  becoming both ruinous, and unable to receive and entertain the great
  number of distracted persons, whose friends sued for their admission,
  the Lord Mayor, Aldermen, and Common Council, granted the Governors a
  piece of ground along the south side of the lower quarters of
  Moorfields, upon which the foundation of the present hospital was laid
  in April 1675, and notwithstanding its being the most magnificent
  edifice of its kind in Europe, was only fifteen months in erecting, as
  appears by an inscription on its front.",,
41,62371.txt,"“Wal! now, I reckon she’s a stray bird, like yerselves—a stranger, or
almost so. She ha’n’t been around these parts much more’n a year—blamed
heather cat, always on the roam! The wife she calls her the Little Lone
Lady—my wife’s awful stuck on her—an’ I reckon she does come o’ grammar
folks—edicate! Other o’ the mountain people call her Magic Margot,
jollying-like—or the spell-woman, ’cause she can tell things—put over
things—that other folks can’t.” He dropped his voice to a croon of
nocturnal mystery.",,
15,48936.txt,"By June, Marine Aircraft Group (MAG) 21 was pounding away at Munda,
but not without losses. Flying from Guadalcanal and Russell Islands,
ComAirSols fighter and strike aircraft covered the Toenails landings
and subsequent operations ashore. From 30 June 1943 through July, there
were only two days that did not have “Condition Red” and dogfights
with Japanese aircraft over the objective area by Allied combat air
patrols. At the same time, Japanese naval forces were located and
attacked, thus forcing the Japanese to move at night by circuitous
routes with landing barges alone. Bomber and Strike Command aircraft
ranged as far north as Ballale, Buin, Kahili, and the Shortlands in
concert with Fifth Air Force strikes at the same locations.",,
55,75590.txt,"*LONDON, i. 4, 213, 225, 227, 231, 237, 250, 259, 332, 333, 335,
     343, 356, 427, 431, 441, 442, 447, 451, 453, 456, 518, 519,
     528, 536, ii. 1, 79, 87, 88, 89, 90, 97, 99, 104, 120, 121,
     138, 203, 204, 221, 232, 261, 263, 314, 315, 319, 326, 345,
     346, 348, 354, 358, 359, 366, 371, 376, 378, 387, 389, 395,
     396, 404, 415, 417, 421, 431, 449, 450, 463, 472, 475, 483,
     486, 497, 500, 503, 505, 517, 518, 519;
    G. Fox brought hither from Leicester, i. 209, 476, 500, 534, ii.
       3;
    removed hither from Lancaster, i. 483, 485, ii. 516,
    leaves for America, ii. 141,
    for Holland, ii. 264, 397,
    brought up from Worcester, ii. 213, 229, 230, and returned
       hither, ii. 214, 215, 224, 230, 518;
    mentioned, i. 160, 174, 208, 381, 414, 479, 480, 535, ii. 17,
       18, 66, 96, 127, 141, 146, 205, 207, 208, 209, 222, 224, 229,
       356, 362, 391;
    Friends visit the city, i. 190, 213, 237, 328, 443, 478, ii. 69,
       141, 228;
    convincement here, i. 215, 227, 237, 259, 519, ii. 104, 251;
    Friends of the city, i. 199, 260, 277, 283, ii. 33, 67, 80, 128,
       131, 132, 166, 199, 215, 217, 253, 261, 265, 335, 361, 371;
    *Fire of, foreseen, i. 453, ii. 54, _70_, 71, 79, 96;
    *the Plague, ii. 34, _67_;
    Papers, etc., written here, i. 494, 526, ii. 119, 123, 320, 321,
       327, 354, 359, 361-363, 366, 367, 373, 374, 379, 388, 393,
       404, 408, 409, 411, 417, 422, 432-440, 449, 453, 473, 475,
       477, 487, 488, 497, 503;
    Bishop receives copy of _The Battledore_, i. 513;
    Yearly Meeting held, ii. 221, 235, 244, 263, 320, 337, 345, 354,
       356, 358, 378, 381, 397, 409, 432, 453, 473, 486, 488, 497,
       517, 518, 519, 527, 529,
    _see_ YEARLY MEETINGS.",,
